Fama-French Factors,,,,
,,,,
Date,RF,Mkt-RF,SMB,HML
2013/12/23,0,0.62,0.5,-0.11
2013/12/20,0,0.69,1.26,-0.28
2013/12/19,0,-0.1,-0.53,0.15
2013/12/18,0,1.55,-0.45,-0.01
2013/12/17,0,-0.26,0.16,-0.13
2013/12/16,0,0.67,0.56,-0.12
2013/12/13,0,0.1,0.25,-0.01
2013/12/12,0,-0.23,0.37,0.32
2013/12/11,0,-1.17,-0.34,0.09
2013/12/10,0,-0.34,-0.55,0.13
2013/12/9,0,0.17,-0.39,0.01
2013/12/6,0,1.02,-0.25,0.12
2013/12/5,0,-0.35,0.66,-0.59
2013/12/4,0,-0.07,-0.19,0.24
2013/12/3,0,-0.34,-0.09,-0.05
2013/12/2,0,-0.31,-0.95,0.17
2013/11/29,0,-0.02,0.29,-0.13
2013/11/27,0,0.3,0.34,-0.08
2013/11/26,0,0.18,0.84,-0.49
2013/11/25,0,-0.11,0.17,0.08
2013/11/22,0,0.5,-0.06,0.11
2013/11/21,0,0.97,0.77,-0.12
2013/11/20,0,-0.33,0.28,-0.05
2013/11/19,0,-0.27,-0.3,0.17
2013/11/18,0,-0.5,-0.44,0.44
2013/11/15,0,0.43,0.07,-0.29
2013/11/14,0,0.43,-0.56,0.25
2013/11/13,0,0.9,0.11,-0.13
2013/11/12,0,-0.19,0.35,-0.7
2013/11/11,0,0.12,0,-0.09
2013/11/8,0,1.45,0.53,0.23
2013/11/7,0,-1.46,-0.37,0.16
2013/11/6,0,0.27,-0.8,0.3
2013/11/5,0,-0.24,0.02,-0.32
2013/11/4,0,0.47,0.76,0
2013/11/1,0,0.2,-0.69,0.27
2013/10/31,0,-0.34,-0.08,-0.41
2013/10/30,0,-0.61,-0.74,0.42
2013/10/29,0,0.54,-0.15,-0.15
2013/10/28,0,0.09,-0.05,-0.01
2013/10/25,0,0.33,-0.33,0.24
2013/10/24,0,0.42,0.37,-0.25
2013/10/23,0,-0.51,0.16,-0.31
2013/10/22,0,0.5,-0.28,0.13
2013/10/21,0,-0.02,-0.13,0.12
2013/10/18,0,0.72,0.33,-0.11
2013/10/17,0,0.7,0.13,0.05
2013/10/16,0,1.37,-0.33,0.15
2013/10/15,0,-0.72,-0.21,-0.03
2013/10/14,0,0.44,0.23,-0.15
2013/10/11,0,0.71,0.77,-0.02
2013/10/10,0,2.23,0.13,-0.05
2013/10/9,0,-0.05,-0.42,0.59
2013/10/8,0,-1.35,-0.46,0.82
2013/10/7,0,-0.95,-0.28,0.07
2013/10/4,0,0.74,0,0.09
2013/10/3,0,-0.88,-0.18,0.21
2013/10/2,0,-0.1,-0.36,0.05
2013/10/1,0,0.9,0.39,-0.12
2013/9/30,0,-0.49,0.5,0.05
2013/9/27,0,-0.39,0,-0.1
2013/9/26,0,0.42,0.17,-0.72
2013/9/25,0,-0.23,0.04,0.5
2013/9/24,0,-0.12,0.52,0.05
2013/9/23,0,-0.45,0.43,-0.25
2013/9/20,0,-0.63,0.53,0.09
2013/9/19,0,-0.13,0.13,-0.52
2013/9/18,0,1.1,-0.22,-0.37
2013/9/17,0,0.54,0.48,-0.14
2013/9/16,0,0.49,-0.42,0.31
2013/9/13,0,0.29,0.23,0.01
2013/9/12,0,-0.32,-0.23,-0.34
2013/9/11,0,0.28,-0.19,-0.04
2013/9/10,0,0.8,0.05,0.11
2013/9/9,0,1.09,0.45,-0.23
2013/9/6,0,0.01,0.01,-0.01
2013/9/5,0,0.19,0.2,0.26
2013/9/4,0,0.83,0,-0.17
2013/9/3,0,0.46,0.06,0.02
2013/8/30,0,-0.47,-1.15,-0.15
2013/8/29,0,0.34,0.78,-0.48
2013/8/28,0,0.3,0.1,0.16
2013/8/27,0,-1.75,-0.77,-0.16
2013/8/26,0,-0.29,0.48,-0.44
2013/8/23,0,0.38,-0.21,-0.08
2013/8/22,0,0.93,0.5,0.09
2013/8/21,0,-0.59,-0.02,-0.47
2013/8/20,0,0.53,0.82,0.13
2013/8/19,0,-0.62,-0.18,-0.8
2013/8/16,0,-0.26,0.05,0.03
2013/8/15,0,-1.47,-0.36,0.28
2013/8/14,0,-0.5,0.15,0.26
2013/8/13,0,0.2,-0.28,-0.09
2013/8/12,0,-0.02,0.59,-0.29
2013/8/9,0,-0.29,0.12,-0.15
2013/8/8,0,0.47,0.01,0.04
2013/8/7,0,-0.42,-0.32,0.15
2013/8/6,0,-0.68,-0.32,-0.09
2013/8/5,0,-0.07,0.51,-0.19
2013/8/2,0,0.2,-0.22,-0.32
2013/8/1,0,1.4,0.05,0.02
