Final Project: Stock Data,,,,,,
,,,,,,
Group,Symbol,Price,ADV,Volatility,LnMktCap,EstReturn %
13,NSC,83.73,"1,880,000",0.202,24.06,0.10
14,NTAP,31.15,"3,987,000",0.2324,22.94,0.10
14,NTRS,76.09,"1,155,000",0.1759,23.58,0.09
14,NUE,44.14,"1,976,000",0.2134,23.32,0.13
14,NVDA,19.87,"7,144,000",0.2524,23.55,0.13
14,NWL,43.08,"1,897,000",0.1788,23.21,0.11
14,NWSA,14.73,"3,716,000",0.207,22.85,0.13
14,O,48.09,"2,069,000",0.1795,23.24,0.13
14,OI,21.35,"1,351,000",0.2525,21.88,0.17
14,OKE,37.79,"1,662,000",0.2724,22.57,0.15
14,OMC,73.08,"1,524,000",0.1671,23.6,0.07
14,ORCL,39.94,"15,691,000",0.1935,25.85,0.10
14,ORLY,240.31,"661,000",0.1941,24,0.12
14,OXY,69.44,"4,458,000",0.2063,24.78,0.11
14,PAYX,46.4,"2,097,000",0.1422,23.7,0.06
14,PBCT,16.27,"3,164,000",0.1453,22.37,0.09
14,PBI,20.74,"2,382,000",0.2716,22.15,0.13
14,PCAR,64.59,"1,695,000",0.1945,23.63,0.14
14,PCG,52.51,"2,972,000",0.1743,23.97,0.08
14,PCL,40.56,"1,019,000",0.1536,22.9,0.08
14,PCLN,1243.57,"739,000",0.2563,24.85,0.16
14,PCP,194.89,"918,000",0.2094,24.18,0.14
14,PDCO,50.16,"753,000",0.1522,22.28,0.08
14,PEG,41.26,"3,402,000",0.1919,23.71,0.13
14,PEP,95.61,"4,714,000",0.1297,25.71,0.09
14,PFE,35.78,"25,930,000",0.1514,26.01,0.08
15,PFG,55.07,"1,262,000",0.2024,23.42,0.10
15,PG,76.7,"8,012,000",0.1288,26.06,0.09
15,PGR,30.5,"3,595,000",0.1455,23.65,0.08
15,PH,112.04,"1,150,000",0.2083,23.37,0.10
15,PHM,20.72,"6,718,000",0.2783,22.65,0.13
15,PKI,52.92,"847,000",0.1761,22.5,0.12
15,PLD,40.61,"2,578,000",0.1693,23.85,0.11
15,PM,85.53,"4,832,000",0.158,25.63,0.11
15,PNC,98.18,"2,231,000",0.1621,24.6,0.10
15,PNR,60.81,"1,350,000",0.2289,23.05,0.12
15,PNW,61.71,"902,000",0.1654,22.67,0.13
15,POM,26.37,"2,011,000",0.1716,22.6,0.09
15,PPG,108.01,"1,518,000",0.182,24.08,0.08
15,PPL,31.4,"4,470,000",0.1762,23.85,0.07
15,PRGO,192.07,"1,259,000",0.2772,23.81,0.17
15,PRU,87.76,"2,469,000",0.2203,24.38,0.11
15,PSA,205.18,"631,000",0.1486,24.44,0.06
15,PSX,78.97,"3,647,000",0.2538,24.63,0.12
15,PVH,116,"1,007,000",0.2488,22.76,0.16
15,PWR,27.62,"1,827,000",0.2409,22.22,0.12
15,PX,113.35,"1,157,000",0.1425,24.21,0.08
15,PXD,126.77,"1,797,000",0.3477,23.82,0.19
15,QCOM,63.85,"10,545,000",0.2085,25.03,0.11
15,R,90.09,"569,000",0.2153,21.98,0.10
15,RAI,42.53,"4,808,000",0.1886,24.93,0.11
16,RCL,89.85,"2,071,000",0.2905,23.73,0.13
16,REGN,553.66,"840,000",0.3454,24.8,0.22
